Dataset ID,Collection,Dataset Name,Languages,Text Sources,Model Generated,Derived from Datasets,License Use (DataProvenance),License Use (GitHub),Licenses,GitHub License,Dataset URL,GitHub URL,ArXiv URL
ds-ABCD,DialogStudio,ABCD,['English'],['human'],[],[],commercial,,"[{'License': 'MIT License', 'License URL': 'https://github.com/asappresearch/abcd/blob/master/LICENSE'}, {'License': 'Apache License 2.0', 'License URL': 'https://github.com/salesforce/DialogStudio/blob/main/LICENSE.txt'}]",,https://github.com/asappresearch/abcd,https://github.com/asappresearch/abcd,https://aclanthology.org/2021.naacl-main.239
ds-AirDialogue,DialogStudio,AirDialogue,['English'],['human'],[],[],commercial,,"[{'License': 'Apache License 2.0', 'License URL': 'https://github.com/google/airdialogue/blob/master/LICENSE'}, {'License': 'Apache License 2.0', 'License URL': 'https://github.com/salesforce/DialogStudio/blob/main/LICENSE.txt'}]",,https://github.com/google/airdialogue,https://github.com/google/airdialogue,https://aclanthology.org/D18-1419
ds-BiTOD,DialogStudio,BiTOD,"['English', 'Chinese']",['human'],[],[],commercial,,"[{'License': 'Apache License 2.0', 'License URL': 'https://github.com/HLTCHKUST/BiToD/blob/main/LICENSE'}, {'License': 'Apache License 2.0', 'License URL': 'https://github.com/salesforce/DialogStudio/blob/main/LICENSE.txt'}]",,https://github.com/HLTCHKUST/BiToD,https://github.com/HLTCHKUST/BiToD,
ds-CaSiNo,DialogStudio,CaSiNo,['English'],['human'],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://github.com/kushalchawla/CaSiNo/blob/main/LICENSE'}, {'License': 'Apache License 2.0', 'License URL': 'https://github.com/salesforce/DialogStudio/blob/main/LICENSE.txt'}]",,https://github.com/kushalchawla/CaSiNo,https://github.com/kushalchawla/CaSiNo,https://aclanthology.org/2021.naacl-main.254.pdf
ds-CraigslistBargains,DialogStudio,CraigslistBargains,['English'],['human'],[],[],commercial,,"[{'License': 'MIT License', 'License URL': 'https://github.com/stanfordnlp/cocoa/blob/master/LICENSE.md'}, {'License': 'Apache License 2.0', 'License URL': 'https://github.com/salesforce/DialogStudio/blob/main/LICENSE.txt'}]",,https://github.com/stanfordnlp/cocoa/tree/master/craigslistbargain,https://github.com/stanfordnlp/cocoa/tree/master/craigslistbargain,https://arxiv.org/abs/1808.09637
ds-Disambiguation,DialogStudio,Disambiguation,['English'],['human'],[],[],commercial,,"[{'License': 'MIT License', 'License URL': 'https://github.com/qbetterk/ParlAI/blob/disambiguation/LICENSE'}, {'License': 'Apache License 2.0', 'License URL': 'https://github.com/salesforce/DialogStudio/blob/main/LICENSE.txt'}]",,https://github.com/qbetterk/ParlAI/tree/disambiguation,https://github.com/qbetterk/ParlAI/tree/disambiguation,https://aclanthology.org/2022.naacl-main.85.pdf
ds-GECOR,DialogStudio,GECOR,['English'],['human'],[],[],commercial,,"[{'License': 'CC BY 4.0', 'License URL': 'https://creativecommons.org/licenses/by/4.0/'}, {'License': 'Apache License 2.0', 'License URL': 'https://github.com/salesforce/DialogStudio/blob/main/LICENSE.txt'}]",,https://multinlp.github.io/GECOR/,,https://aclanthology.org/D19-1462/
ds-HDSA-Dialog,DialogStudio,HDSA-Dialog,['English'],['human'],[],[],commercial,,"[{'License': 'MIT License', 'License URL': 'https://github.com/wenhuchen/HDSA-Dialog/blob/master/LICENSE'}, {'License': 'Apache License 2.0', 'License URL': 'https://github.com/salesforce/DialogStudio/blob/main/LICENSE.txt'}]",,https://github.com/wenhuchen/HDSA-Dialog,https://github.com/wenhuchen/HDSA-Dialog,https://arxiv.org/abs/1905.12866
ds-KETOD,DialogStudio,KETOD,['English'],['human'],[],[],commercial,,"[{'License': 'MIT License', 'License URL': 'https://github.com/facebookresearch/ketod/blob/main/LICENSE'}, {'License': 'Apache License 2.0', 'License URL': 'https://github.com/salesforce/DialogStudio/blob/main/LICENSE.txt'}]",,https://github.com/facebookresearch/ketod,https://github.com/facebookresearch/ketod,https://arxiv.org/abs/2205.05589
ds-MULTIWOZ2_2,DialogStudio,MULTIWOZ2_2,['English'],['human'],[],[],commercial,,"[{'License': 'MIT License', 'License URL': 'https://github.com/budzianowski/multiwoz/blob/master/LICENSE'}, {'License': 'Apache License 2.0', 'License URL': 'https://github.com/salesforce/DialogStudio/blob/main/LICENSE.txt'}]",,https://github.com/budzianowski/multiwoz,https://github.com/budzianowski/multiwoz,https://arxiv.org/abs/2007.12720
